ordem;tipologia;unidade;endereco;bairro;cep;localizacao;número de alunos;latitude;longitude
109;CM;CM SINHAZINHA CELINO;RUA FELIZARDO SEVEFREDO DE ALMEIDA S/N;ACACIO FIGUEIREDO;58421370;-7.273714683183447, -35.92379520775919;155;-7.273714683;-35.92379521
110;CM;CM VOVO ADALGISA CESAR DE ALMEIDA;RUA RAFAELA SOUZA SILVA 300;SERROTAO;58421670;-7.227790976281186, -35.95237658761555;117;-7.227790976;-35.95237659
111;CM;CM WALNYZA BORBOREMA CUNHA LIMA;RUA JOSE TOSCANO DE MEDEIROS S/N;ACACIO FIGUEIREDO;58421180;-7.268373859838329, -35.92944873866972;230;-7.26837386;-35.92944874
112;EMEF;EMEF ANIS TIMANI;RUA LUIS FERREIRA DA SILVA S/N;ACACIO FIGUEIREDO;58421335;-7.273426304608078, -35.92357370046356;1127;-7.273426305;-35.9235737
113;EMEF;EMEF HENRIQUE GUILHERMINO BARBOSA;RUA DANIEL LUIS RODRIGUES S/N;ACACIO FIGUEIREDO;58421370;-7.275569025189951, -35.91468693822154;462;-7.275569025;-35.91468694
114;EMEF;EMEF LUIZ CAMBEBA;RUA IGARASSU S/N;VELAME;58421700;-7.2739223969691125, -35.930436670940864;265;-7.273922397;-35.93043667
115;EMEIF;EMEIF ADALGISA AMORIM;RUA FENELON DE ARAUJO LUCENA S/N;TRES IRMAS;58423760;-7.253460874478257, -35.935267889316435;470;-7.253460874;-35.93526789
116;EMEIF;EMEIF CEAI GOV ANTOIO MARIZ;RUA MARCELINO PEREIRA DA ROCHA S/N;CRUZEIRO;58415483;-7.256944625978106, -35.90563966663065;963;-7.256944626;-35.90563967
117;EMEIF;EMEIF JOSE GUILHERMINO BARBOSA;RUA DA CONCEICAO 18;PRESIDENTE MEDICI;58421000;-7.258092227743535, -35.912355914665405;480;-7.258092228;-35.91235591
118;EMEIF;EMEIF MARIA DAS VITORIAS PIRES UCHOA QUEIROZ;RUA GOIANA 280;CIDADES;58421670;-7.274146714777566, -35.93185779143078;886;-7.274146715;-35.93185779
119;EMEIF;EMEIF PAULO FREIRE;RUA RAFAELA SOUZA SILVA S/N;SERROTAO;58536162;-7.228498484519524, -35.94695546335109;383;-7.228498485;-35.94695546
120;EMEIF;EMEIF PROF ERALDO CESAR DE ARAUJO;RUA MARIA PORTO DE FARIAS S/N;TRES IRMAS;58421730;-7.265908105995165, -35.931563297426294;614;-7.265908106;-35.9315633
121;EMEIF;EMEIF RAIMUNDO ASFORA;RUA SANTA TEREZINHA S/N;SERROTAO;58437800;-7.209170210308022, -35.93298880093423;255;-7.20917021;-35.9329888
122;EMEIF;EMEIF RIVANILDO SANDRO ARCOVERDE;PRACA PAULO ROBERTO MAYER S/N;PRESIDENTE MEDICI;58417607;-7.250862474852334, -35.9111104658291;344;-7.250862475;-35.91111047
123;EMEIF;EMEIF ALMIRANTE TAMANDARÉ;SITIO LOGRADOURO S/N;DISTRITO DE CATOLE;58444000;-7.275692796031457, -36.03411089957123;52;-7.275692796;-36.0341109
124;EMEIF;EMEIF ANTONIO TELHA;RUA ARQUIMEDES SOUTO MAIOR S/N;DISTRITO DE CATOLE;58444000;-7.271685850991801, -36.09611310848902;90;-7.271685851;-36.09611311
125;EMEIF;EMEIF JOAO FRANCISCO DA MOTA ;SITIO LUCAS S/N;DISTRITO DE CATOLE;58444000;-7.254755606438754, -35.965369323346714;165;-7.254755606;-35.96536932
126;EMEIF;EMEIF MANOEL JOAQUIM DE AGUIAR;SITIO QUEIMADA DA EMA S/N;DISTRITO DE CATOLE;58444000;-7.297182504845526, -36.056985900211345;141;-7.297182505;-36.0569859
127;EMEIF;EMEIF NOSSA SENHORA DO PERPETUO SOCORRO;SITIO ESTREITO S/N;DISTRITO DE CATOLE;58444000;-7.268262181814951, -36.00239679920307;157;-7.268262182;-36.0023968
128;EMEIF;EMEIF SEVERINO JOSE DE SOUZA;SITIO SALGADINHO S/N;DISTRITO DE CATOLE;58444000;-7.273449673069397, -35.956893868226075;29;-7.273449673;-35.95689387
129;CM;CM NILA DUNDA;RUA DA CHA S/N;DISTRITO DE GALANTE;58446000;-7.30570228130087, -35.78714603208709;130;-7.305702281;-35.78714603
