ordem;tipologia;unidade;endereco;bairro;cep;localizacao;número de alunos;latitude;longitude
64;EMEIF;EMEIF AGEU GENUINO DA SILVA;RUA ARQUILAU DA COSTA GUIMARAES S/N;RAMADINHA;58433763;-7.219080549054254, -35.92845861321365;387;-7.219080549;-35.92845861
65;EMEIF;EMEIF CEAI DR ELPIDIO DE ALMEIDA;RUA JOAQUIM AMORIM JUNIOR S/N;RAMADINHA;58400200;-7.227474751457432, -35.925515043846296;704;-7.227474751;-35.92551504
66;EMEIF;EMEIF DEP PETRONIO FIGUEIREDO;RUA SAO SEBASTIAO S/N;PEDREGAL;58428370;-7.223039784721419, -35.90954625277802;153;-7.223039785;-35.90954625
67;EMEIF;EMEIF EPITACIO PESSOA;RUA OSVALDO CRUZ 674;CENTENARIO;58428095;-7.225453780448393, -35.90264171068988;193;-7.22545378;-35.90264171
68;EMEIF;EMEIF ESTUDANTE LEONARDO VITORINO GUIMARAES;RUA LUZIA BARBOSA LEAL 519;BELA VISTA;58428600;-7.223324026486648, -35.9043189549819;311;-7.223324026;-35.90431895
69;EMEIF;EMEIF LAFAYETE CAVALCANTE;RUA MAESTRO NESTOR GOMES SANTIAGO S/N;MALVINAS;58432835;-7.242147251777274, -35.92262211245816;581;-7.242147252;-35.92262211
70;EMEIF;EMEIF MANOEL DA COSTA CIRNE;RUA JOAQUIM GONÇALVES LEDO S/N;PEDREGAL;58428530;-7.224932894322686, -35.90870618458579;415;-7.224932894;-35.90870618
71;EMEIF;EMEIF PROFA FRANCISCA ZENA BRASILEIRO;RUA OSVALDO CRUZ S/N;CENTENARIO;58428095;-7.227511567450039, -35.90912220558845;249;-7.227511567;-35.90912221
72;CM;CM AMENAIDE SANTOS;RUA PRESIDENTE COSTA E SILVA S/N;SANTA ROSA;58416600;-7.234085776972735, -35.90300458296252;98;-7.234085777;-35.90300458
73;CM;CM ANA PAULA;RUA SEVERINO RODRIGUES DE ALBUQUERQUE 175;ESTACAO VELHA;58410082;-7.235120423853656, -35.88793459904256;107;-7.235120424;-35.8879346
74;CM;CM FOLCLORISTA LENIRA RITA GOMES;RUA JOSE CURSINO DE SIQUEIRA 3;ALUIZIO CAMPOS;58412195;-7.296279417281607, -35.87991412548336;252;-7.296279417;-35.87991413
75;CM;CM VANIA FIGUEIREDO;RUA MANOEL VIRIATO DE SOUZA S/N;TAMBOR;58414625;-7.254002254543621, -35.88890975716711;123;-7.254002255;-35.88890976
76;CM;CM VER ANTONIO LUIZ CABRAL;RUA VEREADOR ANTONIO ALVES PIMENTEL S/N;ALUIZIO CAMPOS;58412260;-7.294594682110053, -35.872906527289864;197;-7.294594682;-35.87290653
